id_transaccion,id_comercio_comercio,fecha_transaccion,tipo_operacion,id_operacion,estado,monto,moneda,id_producto,motivo_venta_observada,numero_serie_terminal,codigo_autorizacion,numero_referencia,numero_lote,monto_dcc,dcc,numero_tarjeta,origen_tarjeta,tipo_tarjeta,marca_tarjeta,tipo_captura,banco_emisor,numero_cuenta,banco_pagador,numero_cuotas,transaccion_cuotas_sin_interes,nombre_programa,id_detalle_transaccion,importe_descuento,cashback,monto_cashback,comision_cuota_sin_interes,paga_rapido,qr,importe_propina,RUC,codigo_comercio,nombre_comercio,direccion,telefono,email,fecha_registro,ciudad,distrito,provincia,departamento,tipo_comercio,sector,ingresos_anuales,fecha_apertura,numero_empleados,frecuencia_transacciones,nivel_lealtad,id_comercio_producto,nombre_producto,categoria,precio_unitario,banco,comision,fecha,descripcion,es_dia_festivo,comision_aplicada,DayOfMonth
6,5,2023-12-26 00:26:43.337182,Venta,OP000006,Completado,44.98,Soles,4,Sin observaciones,909383,348197,182002857424,6350,9.17,SI,4888******2367,Nacional,Débito,MasterCard,CHIP,Scotiabank,5244955177,Interbank,8,NO,Paga Rápido,206,74.18,NO,3.83,4.02,NO,NO,3.08,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,4,Producto D,Categoría X,57.6,Scotiabank,0.014,,,False,0.62972,26
7,5,2024-06-08 00:26:43.337182,Venta,OP000007,Completado,189.69,Soles,10,Observado,990109,611768,358858898941,4806,5.24,SI,4605******9172,Nacional,Débito,MasterCard,Magstripe,Scotiabank,7313341906,BCP,1,SI,,7,13.03,SI,7.1,0.25,NO,SI,14.22,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,5,Producto J,Categoría X,84.94,Scotiabank,0.014,,,False,2.65566,8
7,5,2024-06-08 00:26:43.337182,Venta,OP000007,Completado,189.69,Soles,10,Observado,990109,611768,358858898941,4806,5.24,SI,4605******9172,Nacional,Débito,MasterCard,Magstripe,Scotiabank,7313341906,BCP,1,SI,,207,33.02,SI,12.88,8.84,SI,NO,2.12,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,5,Producto J,Categoría X,84.94,Scotiabank,0.014,,,False,2.65566,8
8,4,2024-07-18 00:26:43.337182,Venta,OP000008,Completado,158.94,Soles,10,,784209,667058,343051573718,3333,7.94,NO,4047******1314,Internacional,Débito,MasterCard,CHIP,BCP,7083620636,Interbank,2,NO,,8,3.12,SI,8.1,1.32,SI,SI,7.67,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto J,Categoría X,84.94,BCP,0.015,,,False,2.3840999999999997,18
8,4,2024-07-18 00:26:43.337182,Venta,OP000008,Completado,158.94,Soles,10,,784209,667058,343051573718,3333,7.94,NO,4047******1314,Internacional,Débito,MasterCard,CHIP,BCP,7083620636,Interbank,2,NO,,208,80.6,NO,17.37,6.7,NO,SI,12.12,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto J,Categoría X,84.94,BCP,0.015,,,False,2.3840999999999997,18
9,5,2023-12-15 00:26:43.337182,Venta,OP000009,Completado,116.01,Soles,6,,645768,685451,404524180910,3129,5.48,NO,4010******7550,Internacional,Débito,Visa,Magstripe,Interbank,7415722647,Scotiabank,1,NO,Cashback Program,9,13.79,SI,0.83,1.02,NO,SI,2.47,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,5,Producto F,Categoría X,93.3,Interbank,0.012,,,False,1.39212,15
9,5,2023-12-15 00:26:43.337182,Venta,OP000009,Completado,116.01,Soles,6,,645768,685451,404524180910,3129,5.48,NO,4010******7550,Internacional,Débito,Visa,Magstripe,Interbank,7415722647,Scotiabank,1,NO,Cashback Program,209,5.3,NO,11.13,1.64,NO,NO,2.47,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,5,Producto F,Categoría X,93.3,Interbank,0.012,,,False,1.39212,15
10,1,2024-01-14 00:26:43.337182,Venta,OP000010,Completado,105.51,Soles,3,,551810,510834,603259930829,7905,0.56,NO,4761******6007,Internacional,Crédito,Visa,Magstripe,BCP,7308897075,Scotiabank,7,SI,,10,12.59,NO,7.3,4.66,NO,SI,3.74,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,3,Producto C,Categoría X,81.26,BCP,0.02,,,False,2.1102000000000003,14
10,1,2024-01-14 00:26:43.337182,Venta,OP000010,Completado,105.51,Soles,3,,551810,510834,603259930829,7905,0.56,NO,4761******6007,Internacional,Crédito,Visa,Magstripe,BCP,7308897075,Scotiabank,7,SI,,210,8.35,NO,12.38,2.24,SI,SI,11.48,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,3,Producto C,Categoría X,81.26,BCP,0.02,,,False,2.1102000000000003,14
11,5,2024-08-02 00:26:43.337182,Venta,OP000011,Completado,45.18,Soles,10,Observado,722963,759685,195219993760,4192,3.58,NO,4145******4259,Internacional,Crédito,MasterCard,CHIP,Interbank,1040347587,BBVA,7,NO,Paga Rápido,11,0.18,SI,3.0,3.18,NO,NO,11.96,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,5,Producto J,Categoría X,84.94,Interbank,0.018,,,False,0.81324,2
11,5,2024-08-02 00:26:43.337182,Venta,OP000011,Completado,45.18,Soles,10,Observado,722963,759685,195219993760,4192,3.58,NO,4145******4259,Internacional,Crédito,MasterCard,CHIP,Interbank,1040347587,BBVA,7,NO,Paga Rápido,211,67.21,NO,3.79,8.96,SI,SI,14.25,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,5,Producto J,Categoría X,84.94,Interbank,0.018,,,False,0.81324,2
12,2,2024-06-25 00:26:43.337182,Venta,OP000012,Completado,85.02,Soles,4,Observado,355797,777427,800528944313,4067,4.76,NO,4306******5388,Nacional,Débito,MasterCard,CHIP,BCP,9462937163,BCP,11,NO,,12,8.89,SI,6.43,2.71,NO,SI,0.91,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,4,Producto D,Categoría X,57.6,BCP,0.015,,,False,1.2752999999999999,25
12,2,2024-06-25 00:26:43.337182,Venta,OP000012,Completado,85.02,Soles,4,Observado,355797,777427,800528944313,4067,4.76,NO,4306******5388,Nacional,Débito,MasterCard,CHIP,BCP,9462937163,BCP,11,NO,,212,0.61,SI,15.07,9.23,SI,SI,14.58,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,4,Producto D,Categoría X,57.6,BCP,0.015,,,False,1.2752999999999999,25
13,3,2024-05-31 00:26:43.337182,Venta,OP000013,En proceso,17.16,Soles,6,Sin observaciones,189762,252074,121969406000,3508,5.28,NO,4493******7745,Internacional,Crédito,Visa,Magstripe,BBVA,5622174310,Interbank,6,SI,Cashback Program,13,5.25,NO,6.65,2.59,NO,NO,11.85,205500003,C003,Comercio 3,Dirección X,999999999,correo3@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,177087.76,2015-01-01,29,Mensual,Plata,5,Producto F,Categoría X,93.3,BBVA,0.017,,,False,0.29172000000000003,31
13,3,2024-05-31 00:26:43.337182,Venta,OP000013,En proceso,17.16,Soles,6,Sin observaciones,189762,252074,121969406000,3508,5.28,NO,4493******7745,Internacional,Crédito,Visa,Magstripe,BBVA,5622174310,Interbank,6,SI,Cashback Program,213,85.62,NO,7.29,8.92,SI,NO,0.42,205500003,C003,Comercio 3,Dirección X,999999999,correo3@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,177087.76,2015-01-01,29,Mensual,Plata,5,Producto F,Categoría X,93.3,BBVA,0.017,,,False,0.29172000000000003,31
14,5,2024-09-07 00:26:43.337182,Venta,OP000014,Rechazado,108.78,Soles,9,,304138,523561,589582769318,3811,4.47,SI,4388******8431,Nacional,Crédito,MasterCard,QR,Scotiabank,9139863377,BBVA,8,NO,Cashback Program,14,6.6,NO,1.12,0.71,NO,NO,7.83,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,2,Producto I,Categoría X,11.82,Scotiabank,0.019,,,False,2.06682,7
14,5,2024-09-07 00:26:43.337182,Venta,OP000014,Rechazado,108.78,Soles,9,,304138,523561,589582769318,3811,4.47,SI,4388******8431,Nacional,Crédito,MasterCard,QR,Scotiabank,9139863377,BBVA,8,NO,Cashback Program,214,19.23,NO,13.36,4.78,NO,NO,13.13,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,2,Producto I,Categoría X,11.82,Scotiabank,0.019,,,False,2.06682,7
15,2,2023-11-25 00:26:43.337182,Venta,OP000015,En proceso,15.03,Soles,10,,684066,241369,110798918368,6319,7.1,NO,4249******4470,Internacional,Débito,Visa,CHIP,BBVA,9750092938,BBVA,4,NO,,15,16.36,SI,9.35,4.51,NO,NO,14.62,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,5,Producto J,Categoría X,84.94,BBVA,0.013,,,False,0.19538999999999998,25
15,2,2023-11-25 00:26:43.337182,Venta,OP000015,En proceso,15.03,Soles,10,,684066,241369,110798918368,6319,7.1,NO,4249******4470,Internacional,Débito,Visa,CHIP,BBVA,9750092938,BBVA,4,NO,,215,96.66,NO,3.08,8.95,NO,NO,4.67,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,5,Producto J,Categoría X,84.94,BBVA,0.013,,,False,0.19538999999999998,25
16,2,2024-06-19 00:26:43.337182,Venta,OP000016,Completado,59.18,Soles,7,,823529,575076,177736705042,5842,3.34,NO,4958******2498,Internacional,Crédito,MasterCard,Magstripe,BCP,2526194707,BBVA,0,NO,Cashback Program,16,10.08,SI,8.84,2.3,NO,SI,6.16,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,1,Producto G,Categoría X,16.39,BCP,0.02,,,False,1.1836,19
16,2,2024-06-19 00:26:43.337182,Venta,OP000016,Completado,59.18,Soles,7,,823529,575076,177736705042,5842,3.34,NO,4958******2498,Internacional,Crédito,MasterCard,Magstripe,BCP,2526194707,BBVA,0,NO,Cashback Program,216,0.79,SI,12.41,2.86,NO,NO,0.57,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,1,Producto G,Categoría X,16.39,BCP,0.02,,,False,1.1836,19
17,3,2024-04-12 00:26:43.337182,Venta,OP000017,Completado,185.84,Soles,7,,697272,663956,536778806301,6050,9.28,NO,4003******8535,Nacional,Crédito,MasterCard,CHIP,Scotiabank,3586352323,Scotiabank,6,NO,Cashback Program,17,1.45,NO,7.94,4.96,SI,SI,11.54,205500003,C003,Comercio 3,Dirección X,999999999,correo3@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,177087.76,2015-01-01,29,Mensual,Plata,1,Producto G,Categoría X,16.39,Scotiabank,0.019,,,False,3.53096,12
17,3,2024-04-12 00:26:43.337182,Venta,OP000017,Completado,185.84,Soles,7,,697272,663956,536778806301,6050,9.28,NO,4003******8535,Nacional,Crédito,MasterCard,CHIP,Scotiabank,3586352323,Scotiabank,6,NO,Cashback Program,217,32.91,NO,10.56,6.5,SI,NO,8.91,205500003,C003,Comercio 3,Dirección X,999999999,correo3@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,177087.76,2015-01-01,29,Mensual,Plata,1,Producto G,Categoría X,16.39,Scotiabank,0.019,,,False,3.53096,12
18,1,2024-08-16 00:26:43.337182,Venta,OP000018,Completado,91.99,Soles,4,Observado,461643,570380,865442080638,7126,3.79,SI,4606******3343,Internacional,Crédito,MasterCard,Magstripe,Interbank,8615342764,Scotiabank,4,NO,Cashback Program,18,8.38,SI,1.03,1.7,NO,SI,12.42,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,4,Producto D,Categoría X,57.6,Interbank,0.018,,,False,1.6558199999999998,16
18,1,2024-08-16 00:26:43.337182,Venta,OP000018,Completado,91.99,Soles,4,Observado,461643,570380,865442080638,7126,3.79,SI,4606******3343,Internacional,Crédito,MasterCard,Magstripe,Interbank,8615342764,Scotiabank,4,NO,Cashback Program,218,39.36,NO,9.76,0.56,NO,SI,3.48,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,4,Producto D,Categoría X,57.6,Interbank,0.018,,,False,1.6558199999999998,16
19,5,2024-04-13 00:26:43.337182,Venta,OP000019,Rechazado,66.84,Soles,8,Sin observaciones,785171,187908,274195707218,1676,3.23,NO,4600******3088,Nacional,Crédito,MasterCard,CHIP,BBVA,6411179984,BBVA,6,SI,,19,9.97,SI,4.86,0.07,NO,NO,3.91,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,2,Producto H,Categoría X,17.84,BBVA,0.017,,,False,1.1362800000000002,13
19,5,2024-04-13 00:26:43.337182,Venta,OP000019,Rechazado,66.84,Soles,8,Sin observaciones,785171,187908,274195707218,1676,3.23,NO,4600******3088,Nacional,Crédito,MasterCard,CHIP,BBVA,6411179984,BBVA,6,SI,,219,93.94,NO,15.01,7.51,NO,NO,3.18,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,2,Producto H,Categoría X,17.84,BBVA,0.017,,,False,1.1362800000000002,13
20,4,2024-02-24 00:26:43.337182,Venta,OP000020,En proceso,75.5,Soles,2,Sin observaciones,833123,359343,595595212461,2433,2.21,NO,4350******6739,Internacional,Débito,Visa,Magstripe,BCP,7686767698,Scotiabank,3,SI,,20,1.2,NO,1.18,2.09,NO,NO,7.56,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto B,Categoría X,44.51,BCP,0.015,,,False,1.1325,24
20,4,2024-02-24 00:26:43.337182,Venta,OP000020,En proceso,75.5,Soles,2,Sin observaciones,833123,359343,595595212461,2433,2.21,NO,4350******6739,Internacional,Débito,Visa,Magstripe,BCP,7686767698,Scotiabank,3,SI,,220,58.74,SI,1.81,1.29,NO,SI,1.58,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto B,Categoría X,44.51,BCP,0.015,,,False,1.1325,24
21,2,2024-05-02 00:26:43.337182,Venta,OP000021,Completado,26.18,Soles,7,,603196,328075,827557280779,5451,9.96,NO,4468******3222,Internacional,Débito,MasterCard,CHIP,Scotiabank,7718174117,BBVA,0,NO,Paga Rápido,21,17.74,SI,3.13,3.6,SI,SI,6.15,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,1,Producto G,Categoría X,16.39,Scotiabank,0.014,,,False,0.36652,2
21,2,2024-05-02 00:26:43.337182,Venta,OP000021,Completado,26.18,Soles,7,,603196,328075,827557280779,5451,9.96,NO,4468******3222,Internacional,Débito,MasterCard,CHIP,Scotiabank,7718174117,BBVA,0,NO,Paga Rápido,221,60.54,SI,19.52,0.43,SI,NO,14.23,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,1,Producto G,Categoría X,16.39,Scotiabank,0.014,,,False,0.36652,2
22,4,2023-11-17 00:26:43.337182,Venta,OP000022,Rechazado,153.2,Soles,10,,786131,267392,790460874269,6479,3.7,SI,4272******2381,Nacional,Débito,Visa,CHIP,BBVA,7835117136,BCP,9,SI,Paga Rápido,22,18.2,NO,5.04,0.26,NO,NO,8.16,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto J,Categoría X,84.94,BBVA,0.013,,,False,1.9915999999999998,17
22,4,2023-11-17 00:26:43.337182,Venta,OP000022,Rechazado,153.2,Soles,10,,786131,267392,790460874269,6479,3.7,SI,4272******2381,Nacional,Débito,Visa,CHIP,BBVA,7835117136,BCP,9,SI,Paga Rápido,222,43.69,SI,18.94,5.35,SI,NO,8.3,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto J,Categoría X,84.94,BBVA,0.013,,,False,1.9915999999999998,17
23,4,2024-07-01 00:26:43.337182,Venta,OP000023,En proceso,186.27,Soles,6,Sin observaciones,947476,571263,210623195709,5544,6.73,SI,4222******3330,Nacional,Crédito,MasterCard,QR,BCP,2260742070,BCP,2,SI,Cashback Program,23,7.67,NO,4.13,2.95,SI,NO,6.33,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto F,Categoría X,93.3,BCP,0.02,,,False,3.7254000000000005,1
23,4,2024-07-01 00:26:43.337182,Venta,OP000023,En proceso,186.27,Soles,6,Sin observaciones,947476,571263,210623195709,5544,6.73,SI,4222******3330,Nacional,Crédito,MasterCard,QR,BCP,2260742070,BCP,2,SI,Cashback Program,223,50.24,NO,1.66,7.77,SI,SI,8.0,205500004,C004,Comercio 4,Dirección X,999999999,correo4@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,146884.12,2015-01-01,46,Mensual,Plata,5,Producto F,Categoría X,93.3,BCP,0.02,,,False,3.7254000000000005,1
24,3,2024-06-30 00:26:43.337182,Venta,OP000024,Completado,34.99,Soles,5,Observado,895853,196718,407237115861,9372,4.57,SI,4140******7181,Nacional,Débito,Visa,Magstripe,BBVA,9773466239,BCP,10,NO,,24,15.13,SI,5.61,4.63,NO,SI,12.74,205500003,C003,Comercio 3,Dirección X,999999999,correo3@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,177087.76,2015-01-01,29,Mensual,Plata,2,Producto E,Categoría X,61.12,BBVA,0.013,,,False,0.45487,30
